time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
30,0.899247996009919,-1.53769988060389,-1.45467122302751,-0.317448921250092,0.90175580488187,-0.420206678793805,-0.394385922401699,-0.288555485538675,0.219403239425005,0.122493724658795,0.3890680255705,-0.0846774274881825,0.198721783675693,-0.0860102164509657,0.177417236217808,-0.176806320535953,-0.191810951063964,0.0950250477359734
31,0.860791749788993,-1.56697941462053,-1.43183772889497,-0.306068834757468,0.939713064695421,-0.428226210060206,-0.374853038867074,-0.296978870367985,0.237328181773296,0.105236053646881,0.370175208909825,-0.0759596079453523,0.191896692882221,-0.0826277607938186,0.181106291668384,-0.169072529974272,-0.185949116760675,0.0801908174114102
32,0.824253018917941,-1.59708551000173,-1.40719220827823,-0.296381336935905,0.975812363634364,-0.43544271022051,-0.356050041098439,-0.305098481007879,0.255655056243098,0.0885923178514874,0.351926526792656,-0.0685677761810317,0.184201275333945,-0.0799490816747183,0.185471329719217,-0.164330527425122,-0.179018523772112,0.0683108708824029
33,0.789555048905916,-1.62799158767369,-1.38069077597164,-0.288338711125207,1.0101227867998,-0.441975296867786,-0.338046858350264,-0.312992876130776,0.274460871175394,0.0723001734631535,0.334409252173262,-0.0622438501978787,0.175959672593512,-0.0781302765693603,0.19070225088183,-0.16190431136312,-0.171389818162754,0.058689131431408
34,0.756615598323548,-1.65967966771785,-1.35228083605434,-0.281916544917831,1.0427204322108,-0.447920411045226,-0.320884381490869,-0.320755198150056,0.293843458564269,0.0561518501484802,0.317677665464995,-0.0567892940692936,0.167431095041637,-0.077310296681593,0.197026501407155,-0.161360960178446,-0.163355817044047,0.0508158635067097
35,0.72534953172,-1.69214177237496,-1.32189879284347,-0.277109372066955,1.07368547977033,-0.453356944633653,-0.304580543729058,-0.328492353260332,0.313925814281078,0.0399731651291625,0.301760218407272,-0.0520494892261738,0.158818051877674,-0.0776282447655096,0.204721434520105,-0.162450210966777,-0.155143535501889,0.0443123467444989
36,0.69567084669966,-1.72538133191374,-1.2894672561417,-0.273928156420223,1.10309991781457,-0.4583500473864,-0.289135550580201,-0.336325882265828,0.334861975085265,0.0236072635901368,0.286665536725185,-0.0479026600690139,0.150274971985331,-0.0792402663770119,0.214132862659339,-0.165068504508713,-0.146925335878845,0.0388934551962989
37,0.667494220729178,-1.75941476426328,-1.25489155240044,-0.2723992555301,1.13104581613851,-0.462953991509839,-0.2745362612859,-0.34439459709152,0.356845169306679,0.0069009779789555,0.272387366831579,-0.0442519063044345,0.141916471867259,-0.0823383509151731,0.225702369646141,-0.169241534526655,-0.138828887464443,0.0343418997065109
38,0.640736159973497,-1.79427341912267,-1.21805526387419,-0.272564689270444,1.1576040461357,-0.467214353643066,-0.260759779483686,-0.352859314149259,0.380119328089006,-0.0103079010855718,0.258908593606737,-0.0410193904830627,0.133824870345522,-0.0871739377497626,0.240007918769325,-0.175123036687186,-0.13094579755929,0.0304902106240748
39,0.615315825083235,-1.8300061267929,-1.17881438156907,-0.274483703855041,1.18285336188974,-0.471169695846593,-0.247776339099107,-0.361910366580371,0.404995650333586,-0.0282040914973516,0.246204464248345,-0.0381420441646138,0.126056772825997,-0.0940905844656891,0.257825580193327,-0.183010878409204,-0.123338889202004,0.027207943607041
40,0.591155599648889,-1.86668268531554,-1.136989440773,-0.278235798276755,1.20686976954356,-0.474852874469025,-0.235551581177112,-0.37177912499759,0.431876966481293,-0.0470109746246469,0.234245151824304,-0.0355683600816617,0.118648691970327,-0.103572638569999,0.280226074735879,-0.193385567259088,-0.116048166658,0.0243924612374872
41,0.568181457492077,-1.90439878478667,-1.09235464883136,-0.28392561040004,1.22972612535875,-0.478292069684281,-0.224048315308624,-0.382755690862042,0.461294524114131,-0.0670121987872577,0.222997786254431,-0.0332559723520224,0.111621768752873,-0.116322153268011,0.308730994979384,-0.206982708618374,-0.109095536092202,0.0219621913893908
42,0.550208735624633,-1.93613520507229,-1.05352704824819,-0.290120239357589,1.24762127571109,-0.480942859439343,-0.125357303704659,-0.228888504043267,0.284202500340494,-0.0492547758140986,0.124864891890503,-0.0183733350306693,1.06960736398029,1.84032930363573,-2.22351604563883,0.328734569251979,-1.06468143202045,0.158387587394586
43,0.542898258028353,-1.94967393864364,-1.0366114190052,-0.293148323091626,1.25490426086313,-0.482011683509541,-0.0217199872922434,-0.0408021343982359,0.051295730949534,-0.0094707011660262,0.0216420063679848,-0.0031677390999277,1.01666461185663,1.90585171460816,-2.39382088196285,0.439998525198295,-1.0129888631832,0.148327569990397
44,0.545813123247004,-1.94422948042757,-1.04343911624479,-0.291903076884015,1.25200006106373,-0.481586150706122,0.080361567420762,0.149246071691664,-0.186698515356338,0.0336282126977958,-0.0800620469653778,0.0117432676804026,1.03663766184302,1.88020278800825,-2.32745701924841,0.396870077344361,-1.0324853325276,0.152096798877344
45,0.559162898635457,-1.92005997176567,-1.07333878274848,-0.286823418216405,1.23870405143326,-0.479626402095735,0.188241584111503,0.332314883333468,-0.406490119409696,0.0647867289091868,-0.187428659829157,0.0277620717228878,1.1325248415382,1.77169457306303,-2.04227300087914,0.208072289338855,-1.1261607770984,0.170632466798753
46,0.581185915845332,-1.88268433740236,-1.11825302486541,-0.280425677655791,1.21678592960425,-0.476352581578264,0.230544445874562,0.376320262270588,-0.444115535391502,0.0554023416433491,-0.229348409459556,0.0345493213899471,0.115453137741542,-0.108827450911175,0.292125999574566,-0.199020831138326,-0.112891268211609,0.0232606392525994
47,0.604829891949735,-1.84557646269424,-1.16124927589151,-0.275859096460688,1.19327451676678,-0.472776988408629,0.242455804379533,0.366017179174972,-0.416223207943658,0.0361236494630133,-0.240998932326926,0.0370064864386486,0.12269269856291,-0.097985026198677,0.267213667532989,-0.187312789020459,-0.120032678485704,0.0258946349845842
