"time","joint_angle_1","joint_angle_2","joint_angle_3","joint_angle_4","joint_angle_5","joint_angle_6","ee_x","ee_y","ee_z"
0.552,46.09282407459104,-51.42582325835295,-5.894114082128725,24.65247106490082,-28.67997870432216,0,0.4456340064823127,-0.1130997575930175,0.7318320324753047
0.554,46.14421004298404,-51.46613634228331,-5.890185482247136,24.6423361195246,-28.67682242329516,0,0.4460092840385672,-0.1124492563160019,0.7316596798359251
0.556,46.19521174696919,-51.50609451489437,-5.886262840148752,24.63214814731946,-28.67359331809015,0,0.4463814044927207,-0.1118030804095312,0.7314883788649119
0.5580000000000001,46.245832252742,-51.54570109971667,-5.882346317056948,24.62190891302124,-28.67029309201332,0,0.4467503987408306,-0.1111612029988791,0.7313181240129816
0.5600000000000001,46.29607459948343,-51.58495938664498,-5.878436069759907,24.611620152104,-28.66692342112725,0,0.4471162973235571,-0.1105235973380624,0.7311489097456583
0.5620000000000001,46.345941799633,-51.62387263230453,-5.874532250698112,24.60128357119549,-28.66348595465512,0,0.4474791304308743,-0.1098902368101271,0.7309807305435584
0.5640000000000001,46.39543683915988,-51.66244406041376,-5.870635008060004,24.59090084849445,-28.65998231537743,0,0.4478389279066583,-0.1092610949274051,0.7308135809026919
0.5660000000000001,46.44456267782877,-51.70067686214428,-5.866744485868705,24.58047363417336,-28.65641410000958,0,0.4481957192533245,-0.1086361453317235,0.7306474553347038
0.5680000000000001,46.4933222494642,-51.73857419647605,-5.862860824070076,24.57000355078503,-28.65278287960393,0,0.4485495336362316,-0.1080153617946192,0.7304823483671654
0.5700000000000001,46.54171846221087,-51.77613919054601,-5.85898415861816,24.55949219365009,-28.64909019991038,0,0.448900399888194,-0.1073987182174918,0.7303182545438106
0.5720000000000001,46.58975419879247,-51.81337493999506,-5.855114621558382,24.54894113125403,-28.64533758173593,0,0.449248346513895,-0.106786188631743,0.7301551684247471
0.5740000000000001,46.63743231676457,-51.85028450930997,-5.851252341111496,24.53835190562361,-28.64152652133225,0,0.4495934016941046,-0.1061777471989082,0.7299930845867417
0.5760000000000001,46.68475564876817,-51.88687093215968,-5.847397441750523,24.52772603270709,-28.63765849074317,0,0.4499355932899873,-0.1055733682107415,0.7298319976234148
