"time","ee_y","joint_angle_2","joint_angle_3","joint_angle_6","joint_angle_5","joint_angle_4","ee_z","ee_x","joint_angle_1"
0.226,-0.3582509142786356,5.282285626170162,9.874171613017902,0,38.53969380556546,-38.68173134234529,0.6954567840239263,0.2187294406817845,-1.60933450080736
0.228,-0.3573144373023944,5.274247746694624,9.942909538214103,0,38.73145999221386,-38.87819225179406,0.6943096355307463,0.2196736339605237,-1.610286524109894
0.23,-0.3563816908376151,5.265708456587157,10.01115948848901,0,38.9215847147312,-39.07290979194714,0.6931666201483899,0.2206070835261381,-1.61091603152135
0.232,-0.3554527072045313,5.256678421258175,10.07892537784734,0,39.11008511970228,-39.2659025998604,0.6920277893011213,0.2215299049998942,-1.611229070437868
0.234,-0.3545275172095929,5.247168141804557,10.14621107383655,0,39.29697812715556,-39.45718906472693,0.6908931923421014,0.2224422128247637,-1.611231629364667
0.236,-0.3536061501877829,5.237187957087881,10.21302039821227,0,39.4822804343832,-39.64678733197196,0.6897628766046496,0.223344120284112,-1.610929636493943
0.238,-0.3526886340436938,5.226748045808062,10.27935712761082,0,39.66600851967455,-39.83471530727736,0.6886368874523321,0.2242357395194311,-1.610328958429776
0.24,-0.3517749952911786,5.215858428574625,10.34522499422305,0,39.84817864603705,-40.0209906605144,0.6875152683278573,0.2251171815473159,-1.609435399049423
0.242,-0.3508652590921652,5.204528969965644,10.41062768650152,0,40.02880686471609,-40.20563082960127,0.6863980608011215,0.2259885562753833,-1.608254698508363
0.244,-0.349959449293913,5.192769380578354,10.47556884984655,0,40.20790901879586,-40.38865302427483,0.6852853046158927,0.2268499725177163,-1.606792532364023
0.246,-0.3490575884655212,5.180589219075879,10.54005208731345,0,40.38550074659723,-40.57007422978927,0.684177037735752,0.2277015380093166,-1.605054510813529
0.248,-0.3481596979332929,5.167997894215839,10.60408096030034,0,40.56159748505362,-40.74991121055955,0.6830732963888103,0.2285433594200085,-1.603046178034288
0.25,-0.3472657978150274,5.155004666862012,10.6676589892703,0,40.73621447301625,-40.92818051370423,0.681974115111538,0.2293755423677349,-1.600773011650849
0.252,-0.3463759070534198,5.141618651990237,10.73078965443104,0,40.90936675448469,-41.10489847254026,0.6808795267915677,0.2301981914312244,-1.598240422265738
0.254,-0.3454900434485048,5.127848820672609,10.79347639643409,0,41.08106918176822,-41.28008120998783,0.6797895627096114,0.2310114101621334,-1.595453753098858
0.256,-0.3446082236890901,5.113704002046399,10.85572261705961,0,41.25133641862162,-41.45374464193103,0.6787042525802698,0.2318153010967571,-1.592418279706792
0.258,-0.3437304633835567,5.099192885264205,10.91753167990336,0,41.42018294323221,-41.62590448050549,0.677623624592132,0.2326099657671461,-1.589139209775791
0.26,-0.3428567770896628,5.084324021426811,10.97890691104587,0,41.58762305121059,-41.79657623730593,0.6765477054469006,0.2333955047118656,-1.58562168299181
0.262,-0.3419871783434311,5.06910582549957,11.03985159971961,0,41.75367085853939,-41.96577522655227,0.6754765203975241,0.2341720174864256,-1.581870770975762
0.264,-0.3411216796874703,5.05354657820441,11.10036899895867,0,41.91834030440982,-42.13351656818747,0.6744100932855877,0.2349396026732298,-1.577891477279485
